Jahr	Verfügbare Ackerfläche	Benötigte Ackerfläche	Bei doppelter Produktivität	Bei dreifacher Produktivität
1650	3,2	0,25259516		
1675	3,2	0,25259516		
1701	3,2	0,25259516		
1726	3,2	0,26297578		
1751	3,2	0,2733564		
1777	3,2	0,29411765		
1801	3,2	0,32525952		
1827	3,2	0,38754325		
1851	3,2	0,46020761		
1877	3,2	0,55363322		
1900	3,2	0,65743945		
1901	3,2			
1914	3,179930796			
1926	3,148788927	0,80276817		
1938	3,107266436			
1950	3,055363322			
1951		1,01038062		
1964	2,982698962			
1974			0,8038685243	
1975		1,53979239		
1977	2,878892734			
1982			0,9751391968	
1986			1,071944359	
1987		2,00692042		
1988	2,795847751			
1992			1,232045205	
1998			1,399592602	
2000	2,6816609	2,79584775		
2002			1,53363052	
2005				0,81314879
2008			1,72351757	
2012	2,546712803			
2014			1,969253752	0,98961938
2016			2,054889088	
2017		4		
2019	2,453287197			
2020				1,12456747
2024			2,382537331	1,26989619
2026	2,349480969	4,77854671		
2028			2,59848731	
2029				1,40484429
2032			2,792097635	
2034	2,214532872		2,941028655	1,55017301
2038			3,16814846	
2039	2,100346021			
2042			3,458563948	1,80968858
2044			3,633557896	
2045	1,975778547			
2046				1,9550173
2048			3,957482863	
2049	1,851211073			
2050				
2051				2,12110727
2052			4,482464707	
2053	1,747404844			
2054			4,664905206	
2055				2,32871972
2057	1,602076125			
2059				2,50519031
2061	1,467128028			
2062				2,66089965
2063	1,321799308			
2065	1,197231834			
2066	1,103806228			2,84775087
2067	1			
2068				3,01384083
2071				3,1799308
2073				3,31487889
2075				3,47058824
2077				3,64705882
2079				3,81314879
2081				3,94809689
2083				4,11418685
2085				4,30103806
2087				4,57093426
2088				4,67474048