Jahr	Geburten	Todesfälle	Lebende	Alle Menschen
0	0	0	2	2
2	2	0	4	4
4	2	0	6	6
6	2	0	8	8
8	0	0	8	8
10	0	0	8	8
12	0	0	8	8
14	0	0	8	8
16	0	0	8	8
18	0	0	8	8
20	0	2	6	8
22	0	2	6	8
24	2	2	8	10
26	4	2	12	14
28	6	2	18	20
30	4	2	22	24
32	2	2	24	26
34	0	2	24	26
36	0	2	24	26
38	0	2	24	26
40	0	2	24	26
42	0	4	22	26
44	0	6	20	26
46	2	8	20	28
48	6	8	26	34
50	12	8	38	46
52	14	8	52	60
54	12	8	64	72
56	6	8	70	78
58	2	8	72	80
60	0	8	72	80
62	0	8	72	80
64	0	10	70	80
66	0	14	66	80
68	2	20	62	82
70	8	24	66	90
72	20	26	84	110
74	32	26	116	142
76	38	26	154	180
78	32	26	186	212
80	20	26	206	232
82	8	26	214	240
84	2	26	216	242
86	0	28	214	242
88	0	34	208	242
90	2	46	198	244
92	10	60	194	254
94	30	72	212	284
96	60	78	266	344
98	90	80	354	434
100	102	80	456	536
102	90	80	546	626
104	60	80	606	686
106	30	80	636	716
108	10	82	644	726
110	2	90	638	728
112	2	110	620	730
114	12	142	600	742
116	42	180	604	784
118	100	212	672	884
120	180	232	832	1064
122	252	240	1076	1316
124	282	242	1356	1598
126	252	242	1608	1850
128	180	242	1788	2030
130	100	244	1886	2130
132	42	254	1918	2172
134	14	284	1902	2186
136	16	344	1858	2202
138	56	434	1824	2258
140	154	536	1876	2412
142	322	626	2108	2734
144	532	686	2580	3266
146	714	716	3264	3980
148	786	726	4040	4766
150	714	728	4752	5480
152	532	730	5282	6012
154	322	742	5592	6334
156	156	784	5706	6490
158	72	884	5678	6562
160	86	1064	5584	6648
162	226	1316	5558	6874
164	532	1598	5808	7406
166	1008	1850	6564	8414
168	1568	2030	7952	9982
170	2032	2130	9884	12014
172	2214	2172	12056	14228
174	2032	2186	14074	16260
176	1568	2202	15626	17828
178	1010	2258	16580	18838
180	550	2412	16976	19388
182	314	2734	16968	19702
184	384	3266	16820	20086
186	844	3980	16950	20930
188	1766	4766	17930	22696
190	3108	5480	20324	25804
192	4608	6012	24400	30412
194	5814	6334	29892	36226
196	6278	6490	36014	42504
198	5814	6562	41756	48318
200	4610	6648	46280	52928
202	3128	6874	49182	56056
204	1874	7406	50524	57930
206	1248	8414	50764	59178
208	1542	9982	50738	60720
210	2994	12014	51700	63714
212	5718	14228	55204	69432
214	9482	16260	62654	78914
216	13530	17828	74616	92444
218	16690	18838	90296	109134
220	17906	19388	107652	127040
222	16702	19720	124022	143742
224	13552	20086	137208	157294
226	9612	20930	145976	166906
228	6250	22696	150460	173156
230	4664	25804	152016	177820
232	5784	30412	153192	183604
234	10254	36226	157632	193858
236	18194	42504	169548	212052
238	28730	48318	192464	240782
240	39702	52928	227556	280484
242	48126	56056	272554	328610
244	51298	57930	321978	379908
246	48160	59178	368890	428068
248	39866	60720	407214	467934
250	29414	63714	433634	497348
252	20526	69432	448442	517874
254	16698	78914	455658	534572
256	20702	92444	462830	555274
258	34232	109134	480372	589506
260	57178	127040	519644	646684
262	86626	143742	589568	733310
264	116558	157294	692574	849868
266	139126	166906	822088	988994
268	147584	173156	963422	1136578
270	139324	177820	1098082	1275902
272	117440	183604	1209738	1393342
274	89806	193858	1289290	1483148
276	66638	212052	1337734	1549786
278	57926	240782	1366930	1607712
280	71632	280484	1398860	1679344
282	112112	328610	1462846	1791456
284	178036	379908	1589584	1969492
286	260362	428068	1801786	2229854
288	342310	467934	2104230	2572164
290	403268	497348	2478084	2975432
292	426034	517874	2883592	3401466
294	404348	534572	3271242	3805814
296	346570	555274	3597110	4152384
298	273884	589506	3836762	4426268
300	214370	646684	3993954	4640638